DATEEND,DRNUMB,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2022/03/16 00:00:00+00,22202857,0512,0512,300 SENECA DR,AGGRAVATED ASSAULT,,,11485
2022/02/19 00:00:00+00,22167714,1030,1032,300 SEYMOUR ST,LARCENY,Yes,All Other,11486
2022/03/25 00:00:00+00,22217246,0759,0759,300 SEYMOUR ST,MV THEFT,,Motor Vehicle,11487
2022/02/15 00:00:00+00,22162447,1831,1831,300 SHERWOOD AV,LARCENY,,All Other,11488
2022/01/20 00:00:00+00,22125571,1520,1522,300 SHONNARD ST,LARCENY,Yes,All Other,11489
2022/02/16 00:00:00+00,22163467,1600,0900,300 SOUTH AV,BURGLARY,,From Building,11490
2022/02/07 00:00:00+00,22155234,1034,1036,300 SPRING ST,LARCENY,,All Other,11491
2022/04/06 00:00:00+00,22235931,1603,1603,300 STOLP,LARCENY,,All Other,11492
2022/01/21 00:00:00+00,22126859,0700,1100,300 STRATFORD ST,BURGLARY,,,11493
2022/02/26 00:00:00+00,22176979,0135,0147,300 SUNSET AV,LARCENY,,All Other,11494
2022/03/02 00:00:00+00,22182551,0528,0528,300 TAFT AV,MV THEFT,,Motor Vehicle,11495
2022/01/28 00:00:00+00,22137099,0230,0600,300 TENNYSON AV,LARCENY,,All Other,11496
2022/03/11 00:00:00+00,22196647,1445,1445,300 TURTLE ST,AGGRAVATED ASSAULT,Yes,,11497
2022/02/26 00:00:00+00,22177903,1630,1700,300 TURTLE ST,MV THEFT,,Motor Vehicle,11498
2022/02/26 00:00:00+00,22178075,2158,2158,300 TURTLE ST,MV THEFT,,Motor Vehicle,11499
2022/01/29 00:00:00+00,22900087,1000,1130,300 ULSTER ST,LARCENY,,From Motor Vehicle,11500
2022/03/15 00:00:00+00,22201469,2100,0740,300 VALLEY DR,LARCENY,,From Motor Vehicle,11501
2022/03/15 00:00:00+00,22201546,2100,0740,300 VALLEY DR,LARCENY,,From Motor Vehicle,11502
2022/03/08 00:00:00+00,22900160,0720,0730,300 VALLEY DR,LARCENY,,From Motor Vehicle,11503
2022/03/03 00:00:00+00,22184837,1550,1556,300 VALLEY DR,AGGRAVATED ASSAULT,,,11504
2022/02/16 00:00:00+00,22163953,1740,1830,300 VALLEY DR,LARCENY,,From Motor Vehicle,11505
